,Ax,Ay,Az,Sensor Index
0,-13,2,-4,0
1,-11,8,-8,1
2,-6,0,-3,2
3,34,-8,0,3
4,-13,2,19,0
5,192,8,3,1
6,-6,-12,-15,2
7,-13,3,-11,3
8,-25,-9,-16,0
9,12,8,15,1
10,-6,-24,-3,2
11,22,15,0,3
12,22,2,7,0
13,12,8,15,1
14,-18,0,-3,2
15,-13,-32,12,3
16,-1,-9,-4,0
17,12,-3,-20,1
18,-6,191,-15,2
19,-13,15,-179,3
20,10,-21,-16,0
21,-11,-3,3,1
22,5,-12,-15,2
23,-1,15,12,3
24,-1,2,-4,0
25,-23,-3,3,1
26,-6,0,-15,2
27,-1,-20,12,3
28,-25,2,7,0
29,0,-195,15,1
30,17,-180,8,2
31,10,15,-11,3
32,-13,26,7,0
33,-11,-3,27,1
34,5,-12,-3,2
35,-1,3,-11,3
36,34,-9,-16,0
37,-179,-3,-32,1
38,-6,0,-3,2
39,-1,15,12,3
40,-25,-9,-4,0
41,0,-15,-8,1
42,-6,11,20,2
43,10,-8,0,3
44,-13,-21,-28,0
45,-35,-3,15,1
46,5,11,8,2
47,-1,27,0,3
48,10,14,-4,0
49,0,-3,-8,1
50,-18,11,8,2
51,-1,3,-11,3
52,-13,-9,7,0
53,0,-3,15,1
54,-6,11,-15,2
55,10,3,12,3
56,10,14,-4,0
57,12,20,15,1
58,5,-180,-15,2
59,10,3,-11,3
60,10,-9,-4,0
61,0,8,-8,1
62,-18,-180,-15,2
63,-13,-8,0,3
64,10,14,7,0
65,12,8,3,1
66,-18,11,-3,2
67,22,3,0,3
68,-1,2,31,0
69,-11,-3,15,1
70,5,11,-15,2
71,-25,-8,0,3
72,-1,26,-4,0
73,12,8,15,1
74,-18,191,20,2
75,-1,-8,0,3
76,-1,14,19,0
77,-23,-3,27,1
78,-6,-24,-27,2
79,-1,3,0,3
80,10,-9,-4,0
81,0,-3,-8,1
82,-6,-12,-3,2
83,22,27,12,3
84,22,26,7,0
85,0,-3,27,1
86,5,0,32,2
87,-13,-8,0,3
88,-13,-21,7,0
89,-11,8,-20,1
90,-6,-12,-27,2
91,10,3,-11,3
92,-1,-9,-4,0
93,-11,20,-8,1
94,-6,0,-3,2
95,-1,-20,-23,3
96,-13,2,-4,0
97,-11,8,-8,1
98,-6,0,-3,2
99,-1,15,12,3
100,22,-45,-4,0
101,0,-15,3,1
102,-6,0,-15,2
103,10,3,24,3
104,10,14,-4,0
105,-179,-3,3,1
106,5,191,-3,2
107,22,-8,12,3
108,10,2,-16,0
109,12,-3,27,1
110,-6,0,8,2
111,10,15,0,3
112,-1,-21,-4,0
113,-11,8,3,1
114,5,0,8,2
115,22,15,12,3
116,-1,14,-4,0
117,0,-15,51,1
118,5,0,-3,2
119,-13,15,12,3
120,-25,-9,7,0
121,-179,-3,15,1
122,5,11,-15,2
123,-13,3,0,3
124,178,-21,-4,0
125,12,-3,3,1
126,5,0,-15,2
127,22,3,0,3
128,-1,2,-4,0
129,12,-3,27,1
130,5,23,8,2
